date_day,date_name,sex_name,geography_name,value_type_name,measures,measures_name,all_persons_aged_16_and_over,total_economically_active_aged_16_and_over,total_in_employment_aged_16_and_over,total_unemployed_aged_16_and_over,total_economically_inactive_aged_16_and_over,all_persons_aged_16_to_64,total_economically_active_aged_16_to_64,total_in_employment_aged_16_to_64,total_unemployed_aged_16_to_64,total_economically_inactive_aged_16_to_64
2010-01-01,Nov 2009-Jan 2010,Male,United Kingdom,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.5,-0.3,-0.2,0.5,,-0.5,-0.4,-0.1,0.5
2010-01-01,Nov 2009-Jan 2010,Male,United Kingdom,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-1.4,-2.5,1.7,1.4,,-1.5,-2.8,1.7,1.5
2010-01-01,Nov 2009-Jan 2010,Female,United Kingdom,Level,20100,number of people,25703779,14593654,13649931,943723,11110125,20278345,14284080,13347732,936348,5994265
2010-01-01,Nov 2009-Jan 2010,Female,United Kingdom,Change on quarter,20100,number of people,51141,-3145,14186,-17330,54286,29736,2296,20788,-18492,27440
2010-01-01,Nov 2009-Jan 2010,Female,United Kingdom,Change on year,20100,number of people,196826,80967,-29951,110920,115859,113999,28073,-80254,108325,85926
2010-01-01,Nov 2009-Jan 2010,Female,United Kingdom,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,56.8,53.1,6.5,43.2,,70.4,65.8,6.6,29.6
2010-01-01,Nov 2009-Jan 2010,Female,United Kingdom,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.1,-0.1,-0.1,0.1,,-0.1,0,-0.1,0.1
2010-01-01,Nov 2009-Jan 2010,Female,United Kingdom,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.1,-0.5,0.7,0.1,,-0.3,-0.8,0.7,0.3
2010-01-01,Nov 2009-Jan 2010,Total,United Kingdom,Level,20100,number of people,49968447,31491109,29057113,2433995,18477338,40177176,30700503,28291300,2409203,9476673
2010-01-01,Nov 2009-Jan 2010,Total,United Kingdom,Change on quarter,20100,number of people,111325,-76701,-26822,-49882,188026,62370,-77863,-29573,-48290,140233
2010-01-01,Nov 2009-Jan 2010,Total,United Kingdom,Change on year,20100,number of people,418557,-105305,-481964,376662,523862,228116,-181962,-549596,367632,410078
2010-01-01,Nov 2009-Jan 2010,Total,United Kingdom,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,63,58.2,7.7,37,,76.4,70.4,7.8,23.6
2010-01-01,Nov 2009-Jan 2010,Total,United Kingdom,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.3,-0.2,-0.1,0.3,,-0.3,-0.2,-0.1,0.3
2010-01-01,Nov 2009-Jan 2010,Total,United Kingdom,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.7,-1.5,1.2,0.7,,-0.9,-1.8,1.2,0.9
2010-02-01,Dec 2009-Feb 2010,Male,London,Level,20100,number of people,3105475,2264588,2057057,207531,840887,2725155,2219339,2014056,205282,505816
2010-02-01,Dec 2009-Feb 2010,Male,London,Change on quarter,20100,number of people,12015,-20577,-13387,-7189,32592,10403,-15223,-9923,-5302,25626
2010-02-01,Dec 2009-Feb 2010,Male,London,Change on year,20100,number of people,48451,-14980,-39125,24145,63431,42530,-17458,-40849,23390,59988
2010-02-01,Dec 2009-Feb 2010,Male,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,72.9,66.2,9.2,27.1,,81.4,73.9,9.2,18.6
2010-02-01,Dec 2009-Feb 2010,Male,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.9,-0.7,-0.2,0.9,,-0.9,-0.6,-0.2,0.9
2010-02-01,Dec 2009-Feb 2010,Male,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-1.6,-2.3,1.1,1.6,,-1.9,-2.7,1.1,1.9
2010-02-01,Dec 2009-Feb 2010,Female,London,Level,20100,number of people,3249851,1887561,1719089,168472,1362290,2765360,1855070,1688211,166859,910290
2010-02-01,Dec 2009-Feb 2010,Female,London,Change on quarter,20100,number of people,10572,10324,22364,-12040,248,9660,7743,21166,-13423,1917
2010-02-01,Dec 2009-Feb 2010,Female,London,Change on year,20100,number of people,46306,7362,-6097,13459,38944,42596,9470,-3843,13312,33126
2010-02-01,Dec 2009-Feb 2010,Female,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,58.1,52.9,8.9,41.9,,67.1,61,9,32.9
2010-02-01,Dec 2009-Feb 2010,Female,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.1,0.5,-0.7,-0.1,,0,0.6,-0.8,0
2010-02-01,Dec 2009-Feb 2010,Female,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.6,-1,0.7,0.6,,-0.7,-1.1,0.7,0.7
2010-02-01,Dec 2009-Feb 2010,Total,London,Level,20100,number of people,6355326,4152149,3776146,376003,2203177,5490515,4074409,3702267,372142,1416106
2010-02-01,Dec 2009-Feb 2010,Total,London,Change on quarter,20100,number of people,22587,-10252,8977,-19230,32839,20063,-7480,11244,-18724,27543
2010-02-01,Dec 2009-Feb 2010,Total,London,Change on year,20100,number of people,94757,-7618,-45221,37604,102375,85126,-7989,-44692,36703,93115
2010-02-01,Dec 2009-Feb 2010,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,65.3,59.4,9.1,34.7,,74.2,67.4,9.1,25.8
2010-02-01,Dec 2009-Feb 2010,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.4,-0.1,-0.4,0.4,,-0.4,0,-0.4,0.4
2010-02-01,Dec 2009-Feb 2010,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-1.1,-1.6,0.9,1.1,,-1.3,-1.9,0.9,1.3
2010-02-01,Dec 2009-Feb 2010,Male,United Kingdom,Level,20100,number of people,24284885,16922270,15404183,1518086,7362615,19909914,16432529,14932025,1500502,3477385
2010-02-01,Dec 2009-Feb 2010,Male,United Kingdom,Change on quarter,20100,number of people,60429,-11225,-33707,22484,71654,33041,-24666,-49965,25296,57707
2010-02-01,Dec 2009-Feb 2010,Male,United Kingdom,Change on year,20100,number of people,225000,-135845,-381930,246085,360845,116975,-177342,-418192,240847,294317
2010-02-01,Dec 2009-Feb 2010,Male,United Kingdom,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,69.7,63.4,9,30.3,,82.5,75,9.1,17.5
2010-02-01,Dec 2009-Feb 2010,Male,United Kingdom,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.2,-0.3,0.1,0.2,,-0.3,-0.4,0.2,0.3
2010-02-01,Dec 2009-Feb 2010,Male,United Kingdom,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-1.2,-2.2,1.5,1.2,,-1.4,-2.6,1.5,1.4
2010-02-01,Dec 2009-Feb 2010,Female,United Kingdom,Level,20100,number of people,25721005,14598206,13619979,978227,11122799,20288285,14290798,13319335,971464,5997487
2010-02-01,Dec 2009-Feb 2010,Female,United Kingdom,Change on quarter,20100,number of people,51796,-15087,-34191,19105,66883,30072,-7072,-25636,18564,37144
2010-02-01,Dec 2009-Feb 2010,Female,United Kingdom,Change on year,20100,number of people,198653,98597,-23224,121821,100056,115156,61963,-58811,120772,53193
2010-02-01,Dec 2009-Feb 2010,Female,United Kingdom,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,56.8,53,6.7,43.2,,70.4,65.7,6.8,29.6
2010-02-01,Dec 2009-Feb 2010,Female,United Kingdom,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.2,-0.2,0.1,0.2,,-0.1,-0.2,0.1,0.1
2010-02-01,Dec 2009-Feb 2010,Female,United Kingdom,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.1,-0.5,0.8,0.1,,-0.1,-0.7,0.8,0.1
2010-02-01,Dec 2009-Feb 2010,Total,United Kingdom,Level,20100,number of people,50005890,31520476,29024164,2496311,18485414,40198199,30723331,28251360,2471969,9474868
2010-02-01,Dec 2009-Feb 2010,Total,United Kingdom,Change on quarter,20100,number of people,112225,-26310,-67898,41584,138535,63113,-31734,-75603,43865,94847
2010-02-01,Dec 2009-Feb 2010,Total,United Kingdom,Change on year,20100,number of people,423653,-37247,-405153,367906,460900,232131,-115377,-477002,361623,347508
2010-02-01,Dec 2009-Feb 2010,Total,United Kingdom,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,63,58,7.9,37,,76.4,70.3,8,23.6
2010-02-01,Dec 2009-Feb 2010,Total,United Kingdom,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.2,-0.3,0.1,0.2,,-0.2,-0.3,0.2,0.2
2010-02-01,Dec 2009-Feb 2010,Total,United Kingdom,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.6,-1.3,1.2,0.6,,-0.7,-1.6,1.2,0.7
2010-03-01,Jan 2010-Mar 2010,Male,London,Level,20100,number of people,3109473,2274905,2056987,217917,834568,2728656,2230508,2014334,216174,498148
2010-03-01,Jan 2010-Mar 2010,Male,London,Change on quarter,20100,number of people,11962,3969,-6528,10497,7993,10384,8095,-4219,12314,2289
2010-03-01,Jan 2010-Mar 2010,Male,London,Change on year,20100,number of people,48372,3775,-20477,24251,44597,42408,2272,-22665,24937,40136
2010-03-01,Jan 2010-Mar 2010,Male,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,73.2,66.2,9.6,26.8,,81.7,73.8,9.7,18.3
2010-03-01,Jan 2010-Mar 2010,Male,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.2,-0.5,0.4,0.2,,0,-0.4,0.5,0
2010-03-01,Jan 2010-Mar 2010,Male,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-1,-1.7,1.1,1,,-1.2,-2,1.1,1.2
2010-03-01,Jan 2010-Mar 2010,Female,London,Level,20100,number of people,3253369,1879713,1715740,163973,1373656,2768557,1845587,1683509,162079,922970
2010-03-01,Jan 2010-Mar 2010,Female,London,Change on quarter,20100,number of people,10580,-13995,1238,-15234,24575,9626,-18710,-2145,-16563,28336
2010-03-01,Jan 2010-Mar 2010,Female,London,Change on year,20100,number of people,45614,2936,-10355,13292,42678,41864,2798,-9356,12155,39066
2010-03-01,Jan 2010-Mar 2010,Female,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,57.8,52.7,8.7,42.2,,66.7,60.8,8.8,33.3
2010-03-01,Jan 2010-Mar 2010,Female,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.6,-0.1,-0.7,0.6,,-0.9,-0.3,-0.8,0.9
2010-03-01,Jan 2010-Mar 2010,Female,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.7,-1.1,0.7,0.7,,-0.9,-1.3,0.6,0.9
2010-03-01,Jan 2010-Mar 2010,Total,London,Level,20100,number of people,6362842,4154618,3772727,381891,2208224,5497213,4076095,3697842,378253,1421118
2010-03-01,Jan 2010-Mar 2010,Total,London,Change on quarter,20100,number of people,22542,-10026,-5290,-4736,32568,20010,-10614,-6365,-4249,30624
2010-03-01,Jan 2010-Mar 2010,Total,London,Change on year,20100,number of people,93986,6712,-30832,37544,87274,84272,5071,-32021,37092,79201
2010-03-01,Jan 2010-Mar 2010,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,65.3,59.3,9.2,34.7,,74.1,67.3,9.3,25.9
2010-03-01,Jan 2010-Mar 2010,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.4,-0.3,-0.1,0.4,,-0.5,-0.4,-0.1,0.5
2010-03-01,Jan 2010-Mar 2010,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.9,-1.4,0.9,0.9,,-1.1,-1.6,0.9,1.1
2010-03-01,Jan 2010-Mar 2010,Male,United Kingdom,Level,20100,number of people,24304919,16939023,15396614,1542406,7365896,19920674,16447743,14924322,1523420,3472931
2010-03-01,Jan 2010-Mar 2010,Male,United Kingdom,Change on quarter,20100,number of people,60237,17874,-39879,57750,42363,32719,-366,-54953,54586,33085
2010-03-01,Jan 2010-Mar 2010,Male,United Kingdom,Change on year,20100,number of people,228451,-137502,-342344,204839,365953,119879,-179484,-379531,200045,299363
2010-03-01,Jan 2010-Mar 2010,Male,United Kingdom,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,69.7,63.3,9.1,30.3,,82.6,74.9,9.3,17.4
2010-03-01,Jan 2010-Mar 2010,Male,United Kingdom,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.1,-0.3,0.3,0.1,,-0.1,-0.4,0.3,0.1
2010-03-01,Jan 2010-Mar 2010,Male,United Kingdom,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-1.2,-2,1.3,1.2,,-1.4,-2.4,1.3,1.4
2010-03-01,Jan 2010-Mar 2010,Female,United Kingdom,Level,20100,number of people,25738000,14599652,13615944,983709,11138348,20298039,14284344,13307226,977116,6013695
2010-03-01,Jan 2010-Mar 2010,Female,United Kingdom,Change on quarter,20100,number of people,51143,-33468,-49218,15749,84611,29555,-28678,-44583,15903,58233
2010-03-01,Jan 2010-Mar 2010,Female,United Kingdom,Change on year,20100,number of people,199484,75454,-11118,86569,124030,115308,38556,-46498,85049,76752
2010-03-01,Jan 2010-Mar 2010,Female,United Kingdom,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,56.7,52.9,6.7,43.3,,70.4,65.6,6.8,29.6
2010-03-01,Jan 2010-Mar 2010,Female,United Kingdom,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.2,-0.3,0.1,0.2,,-0.2,-0.3,0.1,0.2
2010-03-01,Jan 2010-Mar 2010,Female,United Kingdom,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.1,-0.5,0.6,0.1,,-0.2,-0.6,0.6,0.2
2010-03-01,Jan 2010-Mar 2010,Total,United Kingdom,Level,20100,number of people,50042919,31538674,29012557,2526117,18504245,40218713,30732088,28231549,2500539,9486625
2010-03-01,Jan 2010-Mar 2010,Total,United Kingdom,Change on quarter,20100,number of people,111380,-15594,-89096,73502,126974,62274,-29045,-99536,70492,91319
2010-03-01,Jan 2010-Mar 2010,Total,United Kingdom,Change on year,20100,number of people,427935,-62049,-353462,291414,489984,235187,-140930,-426026,285099,376117
2010-03-01,Jan 2010-Mar 2010,Total,United Kingdom,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,63,58,8,37,,76.4,70.2,8.1,23.6
2010-03-01,Jan 2010-Mar 2010,Total,United Kingdom,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.2,-0.3,0.2,0.2,,-0.2,-0.4,0.2,0.2
2010-03-01,Jan 2010-Mar 2010,Total,United Kingdom,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.7,-1.2,0.9,0.7,,-0.8,-1.5,1,0.8
2010-04-01,Feb 2010-Apr 2010,Male,London,Level,20100,number of people,3113573,2276554,2057804,218751,837019,2732215,2233813,2016548,217265,498402
2010-04-01,Feb 2010-Apr 2010,Male,London,Change on quarter,20100,number of people,12085,16173,1748,14425,-4088,10502,15883,862,15021,-5381
2010-04-01,Feb 2010-Apr 2010,Male,London,Change on year,20100,number of people,48383,11476,-5789,17267,36907,42332,11857,-6734,18591,30475
2010-04-01,Feb 2010-Apr 2010,Male,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,73.1,66.1,9.6,26.9,,81.8,73.8,9.7,18.2
2010-04-01,Feb 2010-Apr 2010,Male,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.2,-0.2,0.6,-0.2,,0.3,-0.3,0.6,-0.3
2010-04-01,Feb 2010-Apr 2010,Male,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.8,-1.2,0.7,0.8,,-0.8,-1.4,0.8,0.8
2010-04-01,Feb 2010-Apr 2010,Female,London,Level,20100,number of people,3256926,1895168,1725336,169832,1361758,2771793,1859080,1691560,167519,912713
2010-04-01,Feb 2010-Apr 2010,Female,London,Change on quarter,20100,number of people,10602,18559,14251,4308,-7957,9638,12854,9901,2952,-3216
2010-04-01,Feb 2010-Apr 2010,Female,London,Change on year,20100,number of people,44774,22336,3059,19277,22438,41038,22405,5015,17388,18633
2010-04-01,Feb 2010-Apr 2010,Female,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,58.2,53,9,41.8,,67.1,61,9,32.9
2010-04-01,Feb 2010-Apr 2010,Female,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.4,0.3,0.1,-0.4,,0.2,0.1,0.1,-0.2
2010-04-01,Feb 2010-Apr 2010,Female,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.1,-0.6,0.9,0.1,,-0.2,-0.7,0.8,0.2
2010-04-01,Feb 2010-Apr 2010,Total,London,Level,20100,number of people,6370499,4171723,3783139,388583,2198776,5504008,4092892,3708108,384784,1411116
2010-04-01,Feb 2010-Apr 2010,Total,London,Change on quarter,20100,number of people,22687,34733,15998,18734,-12046,20140,28736,10763,17973,-8596
2010-04-01,Feb 2010-Apr 2010,Total,London,Change on year,20100,number of people,93157,33813,-2732,36544,59344,83370,34261,-1718,35979,49109
2010-04-01,Feb 2010-Apr 2010,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,65.5,59.4,9.3,34.5,,74.4,67.4,9.4,25.6
2010-04-01,Feb 2010-Apr 2010,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.3,0,0.4,-0.3,,0.3,-0.1,0.4,-0.3
2010-04-01,Feb 2010-Apr 2010,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.4,-0.9,0.8,0.4,,-0.5,-1.1,0.8,0.5
2010-04-01,Feb 2010-Apr 2010,Male,United Kingdom,Level,20100,number of people,24325170,16941215,15417487,1523728,7383955,19931887,16455695,14948701,1506995,3476192
2010-04-01,Feb 2010-Apr 2010,Male,United Kingdom,Change on quarter,20100,number of people,60502,43760,10304,33456,16742,33056,39271,5133,34142,-6215
2010-04-01,Feb 2010-Apr 2010,Male,United Kingdom,Change on year,20100,number of people,231698,-119198,-260102,140908,350896,122873,-155746,-293023,137280,278619
2010-04-01,Feb 2010-Apr 2010,Male,United Kingdom,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,69.6,63.4,9,30.4,,82.6,75,9.2,17.4
2010-04-01,Feb 2010-Apr 2010,Male,United Kingdom,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0,-0.1,0.2,0,,0.1,-0.1,0.2,-0.1
2010-04-01,Feb 2010-Apr 2010,Male,United Kingdom,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-1.2,-1.7,0.9,1.2,,-1.3,-1.9,0.9,1.3
2010-04-01,Feb 2010-Apr 2010,Female,United Kingdom,Level,20100,number of people,25754626,14615925,13630112,985813,11138701,20307589,14284681,13304875,979804,6022908
2010-04-01,Feb 2010-Apr 2010,Female,United Kingdom,Change on quarter,20100,number of people,50847,22271,-19819,42090,28576,29244,601,-42857,43456,28643
2010-04-01,Feb 2010-Apr 2010,Female,United Kingdom,Change on year,20100,number of people,200578,108097,35875,72224,92481,116050,58937,-12138,71073,57113
2010-04-01,Feb 2010-Apr 2010,Female,United Kingdom,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,56.8,52.9,6.7,43.2,,70.3,65.5,6.9,29.7
2010-04-01,Feb 2010-Apr 2010,Female,United Kingdom,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0,-0.2,0.3,0,,-0.1,-0.3,0.3,0.1
2010-04-01,Feb 2010-Apr 2010,Female,United Kingdom,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0,-0.3,0.4,0,,-0.1,-0.4,0.5,0.1
2010-04-01,Feb 2010-Apr 2010,Total,United Kingdom,Level,20100,number of people,50079796,31557141,29047597,2509541,18522655,40239476,30740376,28253578,2486798,9499100
2010-04-01,Feb 2010-Apr 2010,Total,United Kingdom,Change on quarter,20100,number of people,111349,66032,-9516,75546,45317,62300,39873,-37722,77595,22427
2010-04-01,Feb 2010-Apr 2010,Total,United Kingdom,Change on year,20100,number of people,432276,-11097,-224230,213129,443373,238923,-96806,-305157,208351,335729
2010-04-01,Feb 2010-Apr 2010,Total,United Kingdom,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,63,58,8,37,,76.4,70.2,8.1,23.6
2010-04-01,Feb 2010-Apr 2010,Total,United Kingdom,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0,-0.1,0.2,0,,0,-0.2,0.2,0
2010-04-01,Feb 2010-Apr 2010,Total,United Kingdom,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.6,-1,0.7,0.6,,-0.7,-1.2,0.7,0.7
2010-05-01,Mar 2010-May 2010,Male,London,Level,20100,number of people,3117564,2288851,2066386,222465,828713,2735699,2246813,2026263,220550,488886
2010-05-01,Mar 2010-May 2010,Male,London,Change on quarter,20100,number of people,12089,24263,9329,14934,-12174,10544,27474,12207,15268,-16930
2010-05-01,Mar 2010-May 2010,Male,London,Change on year,20100,number of people,48299,20137,535,19602,28162,42177,24688,5341,19346,17489
2010-05-01,Mar 2010-May 2010,Male,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,73.4,66.3,9.7,26.6,,82.1,74.1,9.8,17.9
